Age_Group,Gender,Nationality,Status,Location,Living_Situation,Monthly_Food_Budget_AED,Cooking_Frequency,Current_Spending_Per_Meal_AED,Delivery_Frequency,Interest_Level,Subscription_Preference,WTP_Per_Meal_AED,Meals_Per_Week,Taste_Satisfaction,Healthiness_Satisfaction,Affordability_Satisfaction,Convenience_Satisfaction,Variety_Satisfaction,Interested
55+,Female,Middle East/North Africa,Local University/College Student,Sharjah,Shared apartment with roommates,1000-1500,4-6 times a week,10-15,4-6 times a week,4,1,22.45,Would not order,2,2,3,5,2,1
25-34,Female,Middle East/North Africa,Working Professional (Married),International City,Shared apartment with roommates,1000-1500,Once a week,15-20,Rarely,3,2,20.62,8-10,1,3,3,2,5,0
18-24,Male,Middle East/North Africa,Freelancer/Entrepreneur,Dubai Academic City,University dormitory/hostel,500-1000,Daily,10-15,Once a day,3,5,27.33,3-4,2,4,3,4,1,0
35-44,Male,Southeast Asia,International University/College Student,International City,Shared apartment with roommates,1000-1500,Once a week,20-30,Once a week,4,5,30.48,5-7,4,4,1,3,4,1
18-24,Male,Southeast Asia,Other,Dubai Academic City,Shared apartment with roommates,500-1000,Rarely/Never,More than 50,Rarely,5,4,23.85,8-10,3,3,3,3,2,1
25-34,Female,East Asia,International University/College Student,Sharjah,Living with family,Less than 500,4-6 times a week,More than 50,4-6 times a week,3,3,31.3,3-4,3,1,3,3,4,0
18-24,Male,Southeast Asia,International University/College Student,Dubai Marina,Rented studio/apartment (alone),500-1000,2-3 times a week,30-50,Rarely,4,5,29.45,1-2,3,1,3,1,2,1
18-24,Female,Europe,International University/College Student,JLT,Rented studio/apartment (alone),Less than 500,Daily,20-30,2-3 times a week,4,2,19.01,1-2,2,1,4,4,3,1
45-54,Male,Indian Subcontinent,Freelancer/Entrepreneur,JLT,University dormitory/hostel,More than 3000,Once a week,20-30,Rarely,3,2,31.15,5-7,1,2,2,2,3,0
35-44,Female,Indian Subcontinent,Working Professional (Bachelor/Single),International City,University dormitory/hostel,More than 3000,2-3 times a week,15-20,Once a week,3,3,33.91,Would not order,2,3,2,4,3,0
25-34,Male,Indian Subcontinent,International University/College Student,Dubai Academic City,Rented studio/apartment (alone),1000-1500,2-3 times a week,20-30,4-6 times a week,5,2,28.37,5-7,4,1,2,1,2,1
25-34,Male,Southeast Asia,Local University/College Student,Bur Dubai/Deira,Shared apartment with roommates,1500-2000,2-3 times a week,15-20,4-6 times a week,5,3,36.22,1-2,5,2,2,5,3,1
18-24,Female,Africa,Working Professional (Bachelor/Single),Abu Dhabi,University dormitory/hostel,500-1000,Rarely/Never,15-20,4-6 times a week,4,5,17.26,1-2,2,1,4,2,3,1
18-24,Female,Indian Subcontinent,International University/College Student,Sharjah,Living with family,1500-2000,4-6 times a week,20-30,Once a day,4,4,30.74,5-7,1,3,4,5,1,1
18-24,Male,Europe,Freelancer/Entrepreneur,International City,Living with family,1500-2000,Daily,15-20,4-6 times a week,1,3,17.64,8-10,1,2,2,4,1,0
25-34,Female,Indian Subcontinent,Working Professional (Married),Ajman,Rented studio/apartment (alone),2000-3000,Rarely/Never,15-20,Once a day,4,5,18.09,5-7,2,3,3,5,3,1
25-34,Male,Europe,Working Professional (Bachelor/Single),Sharjah,University dormitory/hostel,1000-1500,2-3 times a week,30-50,2-3 times a week,4,1,21.95,5-7,3,2,3,3,1,1
25-34,Female,Middle East/North Africa,Freelancer/Entrepreneur,Sharjah,Living with family,1500-2000,Rarely/Never,Less than 10,Once a week,4,2,19.46,1-2,1,4,2,4,3,1
18-24,Female,Indian Subcontinent,Local University/College Student,JLT,Rented studio/apartment (alone),500-1000,Once a week,15-20,4-6 times a week,3,4,22.62,8-10,4,2,2,3,2,0
45-54,Male,Middle East/North Africa,Other,JLT,Living with family,More than 3000,Rarely/Never,30-50,4-6 times a week,2,4,25.29,8-10,2,3,5,2,3,0
25-34,Male,Indian Subcontinent,Working Professional (Bachelor/Single),Dubai Academic City,Living with family,Less than 500,2-3 times a week,20-30,Once a week,2,1,33.7,3-4,4,3,3,3,2,0
25-34,Male,Indian Subcontinent,Working Professional (Bachelor/Single),International City,Living with family,1000-1500,Once a week,15-20,4-6 times a week,5,3,24.43,5-7,3,3,5,2,3,1
25-34,Male,Indian Subcontinent,International University/College Student,Dubai Academic City,Shared apartment with roommates,1500-2000,Rarely/Never,10-15,Once a day,4,4,14.31,3-4,3,4,2,5,1,1
25-34,Female,East Asia,Freelancer/Entrepreneur,Dubai Academic City,University dormitory/hostel,1500-2000,2-3 times a week,15-20,4-6 times a week,4,4,36.12,1-2,3,2,3,1,1,1
18-24,Male,Middle East/North Africa,Local University/College Student,JLT,Rented studio/apartment (alone),500-1000,4-6 times a week,30-50,Rarely,1,4,20.3,3-4,3,2,2,4,1,0
18-24,Male,Indian Subcontinent,International University/College Student,Sharjah,Rented studio/apartment (alone),2000-3000,4-6 times a week,15-20,Once a week,1,3,26.53,1-2,3,1,2,4,5,0
35-44,Female,Southeast Asia,International University/College Student,JLT,Living with family,500-1000,4-6 times a week,15-20,2-3 times a week,5,1,30.57,3-4,3,3,3,3,1,1
Under 18,Prefer not to say,Southeast Asia,Working Professional (Bachelor/Single),International City,University dormitory/hostel,1000-1500,4-6 times a week,10-15,Once a week,4,3,28.6,3-4,3,2,2,4,3,1
18-24,Male,Indian Subcontinent,Working Professional (Bachelor/Single),Abu Dhabi,University dormitory/hostel,500-1000,4-6 times a week,Less than 10,2-3 times a week,4,2,35.75,5-7,5,1,2,2,1,1
18-24,Male,Middle East/North Africa,Working Professional (Married),Abu Dhabi,Company-provided accommodation,500-1000,2-3 times a week,More than 50,Once a week,3,5,30.83,3-4,3,3,2,3,1,0
18-24,Male,Indian Subcontinent,Freelancer/Entrepreneur,Sharjah,Living with family,1000-1500,Once a week,15-20,Once a week,5,4,20.11,3-4,3,3,1,3,3,1
35-44,Male,Indian Subcontinent,International University/College Student,Other,Company-provided accommodation,1000-1500,2-3 times a week,20-30,Once a week,2,3,44.43,1-2,4,1,3,5,3,0
25-34,Female,Southeast Asia,Working Professional (Married),Dubai Marina,Living with family,500-1000,Once a week,Less than 10,4-6 times a week,2,4,28.55,5-7,1,3,3,4,5,0
25-34,Male,Indian Subcontinent,International University/College Student,Abu Dhabi,Rented studio/apartment (alone),500-1000,Daily,20-30,Once a day,4,4,25.82,3-4,1,3,1,5,4,1
18-24,Female,Middle East/North Africa,Working Professional (Married),International City,Rented studio/apartment (alone),1000-1500,Daily,30-50,2-3 times a week,3,3,34.71,3-4,2,1,2,1,4,0
25-34,Male,Southeast Asia,Working Professional (Married),JLT,Company-provided accommodation,1500-2000,4-6 times a week,20-30,Rarely,3,5,29.0,8-10,2,2,1,3,3,0
25-34,Female,Indian Subcontinent,Working Professional (Bachelor/Single),Dubai Academic City,Rented studio/apartment (alone),2000-3000,2-3 times a week,10-15,2-3 times a week,4,5,30.19,5-7,4,3,3,2,3,1
18-24,Female,Middle East/North Africa,Working Professional (Married),Dubai Academic City,Rented studio/apartment (alone),Less than 500,4-6 times a week,20-30,Rarely,4,4,46.94,8-10,2,3,1,1,2,1
25-34,Female,Indian Subcontinent,Local University/College Student,International City,University dormitory/hostel,1000-1500,4-6 times a week,20-30,Never,5,1,24.8,3-4,3,2,4,2,4,1
25-34,Male,Americas,Working Professional (Bachelor/Single),Bur Dubai/Deira,Shared apartment with roommates,500-1000,2-3 times a week,15-20,4-6 times a week,4,4,24.46,1-2,2,2,1,4,3,1
25-34,Male,Middle East/North Africa,Working Professional (Married),Sharjah,Rented studio/apartment (alone),Less than 500,Rarely/Never,30-50,Once a week,1,4,27.93,5-7,1,3,2,2,3,0
25-34,Male,East Asia,Working Professional (Bachelor/Single),Dubai Marina,Shared apartment with roommates,1500-2000,Daily,20-30,Once a week,3,2,35.57,3-4,3,4,4,3,2,0
18-24,Female,Middle East/North Africa,Local University/College Student,International City,University dormitory/hostel,1000-1500,Once a week,30-50,Rarely,5,2,14.95,3-4,4,3,3,5,1,1
25-34,Female,Indian Subcontinent,Working Professional (Bachelor/Single),Sharjah,Shared apartment with roommates,500-1000,Once a week,20-30,Never,4,5,11.28,1-2,1,1,1,4,4,1
25-34,Female,Southeast Asia,Working Professional (Married),Bur Dubai/Deira,Shared apartment with roommates,500-1000,Once a week,10-15,Once a week,5,1,22.3,8-10,3,2,4,3,2,1
25-34,Female,Europe,Local University/College Student,JLT,University dormitory/hostel,Less than 500,Rarely/Never,15-20,4-6 times a week,1,4,13.93,1-2,3,4,3,3,3,0
35-44,Female,Southeast Asia,International University/College Student,Bur Dubai/Deira,Shared apartment with roommates,1500-2000,Daily,10-15,Once a week,4,4,23.6,More than 10,1,1,4,3,1,1
25-34,Male,East Asia,Working Professional (Married),Dubai Academic City,Company-provided accommodation,More than 3000,4-6 times a week,30-50,Once a day,1,3,31.02,8-10,1,5,3,2,4,0
18-24,Female,Africa,Working Professional (Married),JLT,Shared apartment with roommates,500-1000,Rarely/Never,20-30,Once a week,4,1,19.87,3-4,5,4,3,4,1,1
18-24,Male,Indian Subcontinent,International University/College Student,Abu Dhabi,University dormitory/hostel,500-1000,2-3 times a week,20-30,Rarely,5,5,15.59,5-7,2,1,5,3,4,1
25-34,Male,Indian Subcontinent,International University/College Student,Dubai Academic City,University dormitory/hostel,2000-3000,2-3 times a week,15-20,2-3 times a week,5,3,27.55,5-7,1,4,2,4,1,1
18-24,Male,Southeast Asia,International University/College Student,JLT,Rented studio/apartment (alone),2000-3000,Once a week,10-15,Once a week,4,4,33.9,8-10,1,2,3,4,4,1
25-34,Male,Middle East/North Africa,Local University/College Student,Ajman,Shared apartment with roommates,1000-1500,Once a week,20-30,2-3 times a week,4,4,13.44,3-4,3,4,3,4,3,1
45-54,Male,East Asia,Working Professional (Bachelor/Single),Bur Dubai/Deira,Living with family,Less than 500,Rarely/Never,15-20,2-3 times a week,5,4,33.56,8-10,3,2,1,3,1,1
25-34,Female,Africa,Working Professional (Married),International City,Rented studio/apartment (alone),Less than 500,Rarely/Never,10-15,2-3 times a week,4,5,33.54,3-4,3,2,1,2,3,1
25-34,Male,Middle East/North Africa,Working Professional (Bachelor/Single),International City,Living with family,1000-1500,Once a week,20-30,Once a week,1,4,34.63,More than 10,1,3,1,4,2,0
25-34,Female,Indian Subcontinent,Working Professional (Bachelor/Single),International City,Shared apartment with roommates,1000-1500,4-6 times a week,Less than 10,Rarely,4,3,36.75,3-4,4,3,3,3,1,1
25-34,Male,East Asia,Local University/College Student,Bur Dubai/Deira,Rented studio/apartment (alone),Less than 500,Rarely/Never,15-20,Rarely,3,5,44.62,3-4,2,1,3,2,4,0
25-34,Male,Indian Subcontinent,Working Professional (Married),JLT,Shared apartment with roommates,1000-1500,Daily,15-20,4-6 times a week,4,4,24.15,8-10,2,3,3,2,2,1
45-54,Male,East Asia,Working Professional (Bachelor/Single),International City,Company-provided accommodation,Less than 500,4-6 times a week,10-15,Rarely,4,3,27.88,8-10,2,1,1,2,2,1
25-34,Male,Middle East/North Africa,Freelancer/Entrepreneur,Abu Dhabi,Rented studio/apartment (alone),1500-2000,Rarely/Never,More than 50,Once a week,4,2,23.67,5-7,2,2,3,4,1,1
45-54,Female,Southeast Asia,Working Professional (Bachelor/Single),Dubai Marina,Shared apartment with roommates,500-1000,4-6 times a week,10-15,4-6 times a week,3,5,27.02,1-2,4,2,4,2,2,0
45-54,Male,Indian Subcontinent,International University/College Student,Dubai Academic City,Shared apartment with roommates,Less than 500,4-6 times a week,10-15,Once a day,2,3,39.26,3-4,4,2,2,3,4,0
18-24,Female,Southeast Asia,Working Professional (Bachelor/Single),Dubai Marina,University dormitory/hostel,1000-1500,Daily,10-15,4-6 times a week,4,4,16.24,Would not order,2,2,3,3,2,1
18-24,Male,Middle East/North Africa,Local University/College Student,Bur Dubai/Deira,Rented studio/apartment (alone),1000-1500,Rarely/Never,20-30,Rarely,5,4,20.11,5-7,4,1,4,3,5,1
18-24,Female,Middle East/North Africa,Working Professional (Bachelor/Single),International City,University dormitory/hostel,More than 3000,2-3 times a week,15-20,Once a week,4,2,38.02,8-10,3,1,4,4,4,1
Under 18,Female,Indian Subcontinent,International University/College Student,Dubai Academic City,Rented studio/apartment (alone),1000-1500,Once a week,20-30,Once a week,3,4,35.16,1-2,4,1,3,4,1,0
18-24,Female,Southeast Asia,International University/College Student,Sharjah,Shared apartment with roommates,500-1000,4-6 times a week,Less than 10,4-6 times a week,5,1,24.09,3-4,1,2,4,3,1,1
25-34,Male,Africa,Working Professional (Married),JLT,Rented studio/apartment (alone),1500-2000,Once a week,Less than 10,Once a week,5,3,33.84,5-7,3,4,2,1,4,1
18-24,Male,Indian Subcontinent,International University/College Student,Dubai Marina,Living with family,500-1000,Once a week,15-20,Multiple times a day,3,4,29.73,8-10,2,1,4,3,2,0
18-24,Male,Indian Subcontinent,Working Professional (Married),JLT,Living with family,2000-3000,4-6 times a week,30-50,2-3 times a week,1,3,39.0,1-2,4,4,2,4,1,0
35-44,Female,Indian Subcontinent,International University/College Student,International City,Living with family,1000-1500,2-3 times a week,30-50,Once a week,5,4,27.6,8-10,1,3,2,3,2,1
18-24,Male,Southeast Asia,Working Professional (Bachelor/Single),Dubai Academic City,University dormitory/hostel,1000-1500,4-6 times a week,10-15,4-6 times a week,5,5,35.21,5-7,3,3,1,4,3,1
35-44,Male,Southeast Asia,Working Professional (Bachelor/Single),JLT,University dormitory/hostel,Less than 500,Rarely/Never,15-20,Once a week,5,4,48.14,1-2,2,3,4,2,4,1
18-24,Female,Middle East/North Africa,Working Professional (Bachelor/Single),Dubai Academic City,Rented studio/apartment (alone),1000-1500,Once a week,30-50,4-6 times a week,5,1,31.78,3-4,2,4,3,4,1,1
18-24,Male,Indian Subcontinent,Local University/College Student,International City,Shared apartment with roommates,1500-2000,Rarely/Never,15-20,Once a week,4,2,27.39,3-4,3,1,2,2,1,1
25-34,Female,Middle East/North Africa,International University/College Student,Sharjah,Shared apartment with roommates,1500-2000,4-6 times a week,30-50,2-3 times a week,4,4,32.78,5-7,4,3,2,4,4,1
25-34,Male,Middle East/North Africa,International University/College Student,Other,University dormitory/hostel,500-1000,Once a week,10-15,2-3 times a week,1,5,24.08,1-2,3,3,4,3,4,0
35-44,Male,Middle East/North Africa,Local University/College Student,Sharjah,Shared apartment with roommates,500-1000,Once a week,30-50,Once a day,3,5,46.1,1-2,4,3,4,4,3,0
25-34,Female,Americas,Working Professional (Bachelor/Single),Ajman,University dormitory/hostel,1500-2000,Once a week,20-30,Multiple times a day,4,5,28.44,8-10,2,4,3,1,4,1
35-44,Male,Indian Subcontinent,Freelancer/Entrepreneur,Dubai Academic City,Company-provided accommodation,2000-3000,Rarely/Never,30-50,Rarely,4,3,24.82,1-2,2,1,3,3,2,1
18-24,Female,Southeast Asia,Working Professional (Married),Abu Dhabi,Shared apartment with roommates,Less than 500,2-3 times a week,20-30,4-6 times a week,4,3,20.31,3-4,2,3,3,4,4,1
18-24,Male,Middle East/North Africa,Working Professional (Married),Dubai Academic City,Rented studio/apartment (alone),1000-1500,Daily,15-20,Once a week,5,4,35.78,3-4,1,3,2,2,2,1
35-44,Male,Middle East/North Africa,Working Professional (Married),Abu Dhabi,University dormitory/hostel,500-1000,Once a week,30-50,Never,3,2,33.94,5-7,3,2,4,4,2,0
35-44,Female,Southeast Asia,Working Professional (Bachelor/Single),Other,Rented studio/apartment (alone),2000-3000,Once a week,10-15,4-6 times a week,4,1,23.02,5-7,3,2,1,4,3,1
55+,Female,Southeast Asia,International University/College Student,Bur Dubai/Deira,Shared apartment with roommates,Less than 500,2-3 times a week,15-20,4-6 times a week,2,5,31.61,3-4,3,3,3,4,2,0
25-34,Female,Other,Freelancer/Entrepreneur,Other,Company-provided accommodation,500-1000,4-6 times a week,20-30,Once a week,4,2,14.93,8-10,3,4,2,3,5,1
25-34,Male,Indian Subcontinent,Working Professional (Bachelor/Single),Dubai Marina,Company-provided accommodation,1500-2000,2-3 times a week,20-30,Rarely,5,2,28.48,5-7,3,3,3,3,2,1
35-44,Female,Indian Subcontinent,Working Professional (Bachelor/Single),Dubai Academic City,Shared apartment with roommates,Less than 500,4-6 times a week,30-50,Rarely,5,1,30.62,1-2,1,4,3,4,4,1
18-24,Male,Southeast Asia,International University/College Student,JLT,Company-provided accommodation,1000-1500,2-3 times a week,10-15,2-3 times a week,5,5,40.66,1-2,1,2,3,3,4,1
45-54,Male,Middle East/North Africa,Local University/College Student,Bur Dubai/Deira,Other,1000-1500,Once a week,20-30,Once a week,3,4,20.83,3-4,3,1,1,4,2,0
35-44,Female,Indian Subcontinent,Working Professional (Bachelor/Single),International City,Living with family,500-1000,Once a week,20-30,4-6 times a week,4,4,16.77,3-4,2,1,3,3,4,1
25-34,Male,Indian Subcontinent,Working Professional (Married),Bur Dubai/Deira,Living with family,1000-1500,4-6 times a week,Less than 10,Rarely,3,5,19.84,5-7,1,1,2,2,3,0
35-44,Female,Indian Subcontinent,Working Professional (Bachelor/Single),Other,Shared apartment with roommates,1000-1500,2-3 times a week,15-20,Rarely,4,3,16.31,5-7,2,2,2,2,4,1
35-44,Male,Africa,Local University/College Student,Dubai Academic City,Rented studio/apartment (alone),500-1000,4-6 times a week,15-20,4-6 times a week,5,4,37.69,3-4,3,2,1,1,3,1
18-24,Male,Indian Subcontinent,Freelancer/Entrepreneur,Sharjah,University dormitory/hostel,1000-1500,4-6 times a week,15-20,4-6 times a week,5,1,39.39,1-2,2,3,4,3,3,1
45-54,Male,Indian Subcontinent,International University/College Student,Ajman,University dormitory/hostel,1500-2000,Once a week,More than 50,Once a day,5,2,29.56,3-4,3,3,3,4,3,1
25-34,Female,Indian Subcontinent,Local University/College Student,Abu Dhabi,Other,1500-2000,Rarely/Never,20-30,4-6 times a week,3,5,36.77,5-7,3,1,3,4,2,0
35-44,Female,Middle East/North Africa,International University/College Student,Abu Dhabi,Shared apartment with roommates,500-1000,2-3 times a week,20-30,Once a week,5,4,28.07,3-4,2,2,3,2,2,1
18-24,Female,Indian Subcontinent,Working Professional (Married),Dubai Marina,Living with family,500-1000,Once a week,More than 50,2-3 times a week,1,3,26.24,5-7,3,2,3,5,2,0
35-44,Female,Middle East/North Africa,Freelancer/Entrepreneur,Abu Dhabi,Living with family,500-1000,Rarely/Never,15-20,Once a day,5,3,24.34,1-2,3,3,3,3,4,1
25-34,Female,Indian Subcontinent,International University/College Student,Sharjah,Living with family,1000-1500,Rarely/Never,20-30,2-3 times a week,3,4,24.52,5-7,3,1,2,5,3,0
Under 18,Female,East Asia,Working Professional (Married),Dubai Academic City,Other,1000-1500,4-6 times a week,15-20,Never,3,1,14.62,8-10,3,1,2,4,3,0
45-54,Male,Indian Subcontinent,International University/College Student,JLT,Shared apartment with roommates,1500-2000,Rarely/Never,30-50,Once a week,4,2,29.11,3-4,1,4,3,4,2,1
18-24,Male,Middle East/North Africa,Freelancer/Entrepreneur,Bur Dubai/Deira,University dormitory/hostel,Less than 500,2-3 times a week,10-15,2-3 times a week,5,2,26.68,3-4,3,4,3,1,3,1
18-24,Male,Africa,Working Professional (Married),Dubai Academic City,Shared apartment with roommates,Less than 500,2-3 times a week,30-50,4-6 times a week,1,3,32.96,Would not order,2,1,4,2,1,0
45-54,Prefer not to say,Southeast Asia,Working Professional (Married),Bur Dubai/Deira,University dormitory/hostel,1000-1500,Daily,10-15,Never,3,5,27.75,3-4,4,2,4,1,4,0
45-54,Female,Middle East/North Africa,International University/College Student,Bur Dubai/Deira,University dormitory/hostel,1500-2000,2-3 times a week,15-20,Once a week,5,3,25.7,5-7,4,2,2,4,5,1
25-34,Male,Indian Subcontinent,Freelancer/Entrepreneur,Dubai Academic City,Shared apartment with roommates,500-1000,Daily,20-30,4-6 times a week,4,2,20.03,1-2,3,4,1,3,2,1
25-34,Female,Indian Subcontinent,Working Professional (Married),Dubai Marina,Living with family,1000-1500,4-6 times a week,15-20,Once a day,2,4,27.58,5-7,2,3,3,4,1,0
25-34,Female,Southeast Asia,Local University/College Student,Sharjah,Rented studio/apartment (alone),500-1000,4-6 times a week,20-30,Once a day,4,5,32.91,1-2,1,1,2,3,1,1
18-24,Male,Other,Working Professional (Married),Dubai Marina,Shared apartment with roommates,2000-3000,Rarely/Never,15-20,Once a day,4,2,17.85,Would not order,2,3,1,4,3,1
18-24,Female,Southeast Asia,International University/College Student,International City,Rented studio/apartment (alone),2000-3000,Rarely/Never,20-30,2-3 times a week,5,1,27.7,5-7,2,2,4,2,3,1
25-34,Female,Middle East/North Africa,Working Professional (Married),International City,Shared apartment with roommates,500-1000,4-6 times a week,10-15,Rarely,5,3,28.86,8-10,2,2,2,2,4,1
35-44,Male,Southeast Asia,International University/College Student,JLT,University dormitory/hostel,500-1000,Rarely/Never,Less than 10,2-3 times a week,4,4,21.26,5-7,2,2,4,3,2,1
35-44,Female,Middle East/North Africa,Working Professional (Married),Abu Dhabi,Living with family,1000-1500,Rarely/Never,15-20,Rarely,5,4,22.3,5-7,1,3,3,3,4,1
35-44,Male,Indian Subcontinent,Working Professional (Bachelor/Single),Dubai Academic City,Rented studio/apartment (alone),500-1000,Once a week,15-20,2-3 times a week,4,5,28.84,3-4,5,2,4,3,3,1
18-24,Female,Middle East/North Africa,International University/College Student,Bur Dubai/Deira,Living with family,1500-2000,Daily,10-15,Once a week,1,5,17.93,8-10,1,2,2,4,2,0
25-34,Female,Europe,International University/College Student,Dubai Academic City,University dormitory/hostel,1500-2000,Once a week,15-20,Once a week,3,4,29.8,Would not order,4,2,2,1,3,0
18-24,Female,Indian Subcontinent,International University/College Student,Dubai Academic City,Living with family,1500-2000,Rarely/Never,15-20,4-6 times a week,4,4,19.84,3-4,4,1,3,3,1,1
25-34,Male,Southeast Asia,Working Professional (Bachelor/Single),Sharjah,Rented studio/apartment (alone),1500-2000,Once a week,Less than 10,2-3 times a week,2,4,35.5,More than 10,2,3,2,4,3,0
25-34,Female,Indian Subcontinent,Local University/College Student,Bur Dubai/Deira,Rented studio/apartment (alone),1000-1500,2-3 times a week,20-30,Once a week,5,1,45.7,5-7,3,1,2,1,4,1
35-44,Female,Middle East/North Africa,Working Professional (Bachelor/Single),International City,Rented studio/apartment (alone),500-1000,2-3 times a week,30-50,Once a day,5,5,20.11,5-7,2,1,2,5,2,1
18-24,Male,Indian Subcontinent,International University/College Student,JLT,Living with family,1500-2000,Once a week,10-15,2-3 times a week,3,3,31.27,3-4,3,3,2,5,4,0
18-24,Female,Middle East/North Africa,International University/College Student,International City,Rented studio/apartment (alone),1000-1500,2-3 times a week,20-30,2-3 times a week,4,2,21.19,3-4,2,3,2,1,3,1
18-24,Male,Southeast Asia,Working Professional (Married),JLT,Rented studio/apartment (alone),1500-2000,Daily,20-30,Never,5,4,35.33,1-2,2,4,4,3,2,1
35-44,Female,Indian Subcontinent,International University/College Student,Bur Dubai/Deira,Other,500-1000,4-6 times a week,15-20,2-3 times a week,5,3,16.88,3-4,3,3,2,3,3,1
25-34,Male,Southeast Asia,Freelancer/Entrepreneur,International City,Living with family,Less than 500,Rarely/Never,20-30,Once a week,5,4,30.84,5-7,2,2,1,4,3,1
18-24,Male,East Asia,Working Professional (Married),Dubai Academic City,Shared apartment with roommates,More than 3000,Rarely/Never,15-20,2-3 times a week,4,4,20.02,3-4,3,3,3,4,2,1
18-24,Male,Europe,Working Professional (Bachelor/Single),JLT,Rented studio/apartment (alone),500-1000,Daily,15-20,Once a week,5,3,25.34,3-4,2,3,5,4,1,1
25-34,Female,Indian Subcontinent,Working Professional (Bachelor/Single),Abu Dhabi,Shared apartment with roommates,More than 3000,Rarely/Never,Less than 10,2-3 times a week,4,5,18.75,Would not order,2,2,2,4,2,1
18-24,Male,Middle East/North Africa,Freelancer/Entrepreneur,Other,Shared apartment with roommates,More than 3000,4-6 times a week,20-30,Rarely,4,3,33.58,3-4,1,4,1,2,1,1
35-44,Female,Indian Subcontinent,International University/College Student,International City,Rented studio/apartment (alone),1500-2000,Once a week,20-30,2-3 times a week,2,3,20.3,3-4,1,1,3,4,1,0
25-34,Male,Other,International University/College Student,Sharjah,Company-provided accommodation,1500-2000,Once a week,Less than 10,2-3 times a week,2,4,31.42,1-2,2,5,4,4,2,0
18-24,Male,Europe,International University/College Student,JLT,Company-provided accommodation,1000-1500,Rarely/Never,15-20,Once a week,4,4,24.25,1-2,1,4,4,3,2,1
18-24,Male,Middle East/North Africa,Working Professional (Married),JLT,Shared apartment with roommates,2000-3000,Rarely/Never,More than 50,2-3 times a week,3,4,26.08,5-7,1,3,3,5,4,0
55+,Female,East Asia,International University/College Student,Sharjah,Rented studio/apartment (alone),500-1000,4-6 times a week,15-20,4-6 times a week,1,3,28.18,5-7,4,4,2,4,2,0
25-34,Male,Middle East/North Africa,Working Professional (Bachelor/Single),Abu Dhabi,University dormitory/hostel,1000-1500,Rarely/Never,15-20,Once a day,5,4,20.91,5-7,1,3,3,2,4,1
25-34,Female,Southeast Asia,Other,Abu Dhabi,Other,1000-1500,Daily,30-50,Multiple times a day,1,2,28.68,1-2,3,1,1,3,3,0
35-44,Female,Indian Subcontinent,Working Professional (Married),Dubai Marina,Other,1000-1500,Once a week,20-30,Rarely,4,5,39.24,5-7,2,2,3,3,3,1
45-54,Female,Southeast Asia,Working Professional (Bachelor/Single),JLT,Rented studio/apartment (alone),1000-1500,Once a week,20-30,4-6 times a week,4,3,20.78,3-4,4,1,3,1,2,1
55+,Male,Indian Subcontinent,International University/College Student,Sharjah,Living with family,500-1000,Once a week,20-30,4-6 times a week,5,4,36.37,3-4,2,2,5,5,4,1
35-44,Male,East Asia,Working Professional (Married),Dubai Academic City,Rented studio/apartment (alone),1000-1500,4-6 times a week,30-50,Once a week,4,1,38.98,1-2,2,3,2,2,3,1
25-34,Female,East Asia,Working Professional (Bachelor/Single),Dubai Marina,Rented studio/apartment (alone),2000-3000,Rarely/Never,15-20,2-3 times a week,1,2,20.47,1-2,2,2,1,4,4,0
18-24,Male,Southeast Asia,International University/College Student,JLT,University dormitory/hostel,500-1000,4-6 times a week,15-20,2-3 times a week,4,4,15.36,3-4,2,2,3,3,2,1
35-44,Female,Indian Subcontinent,International University/College Student,Bur Dubai/Deira,Shared apartment with roommates,2000-3000,Daily,15-20,4-6 times a week,5,5,29.42,1-2,3,3,3,1,1,1
25-34,Male,Indian Subcontinent,Freelancer/Entrepreneur,Dubai Academic City,Rented studio/apartment (alone),1500-2000,Once a week,More than 50,Rarely,5,4,22.62,Would not order,1,4,4,5,3,1
25-34,Female,Indian Subcontinent,Working Professional (Bachelor/Single),Dubai Academic City,Rented studio/apartment (alone),1500-2000,2-3 times a week,20-30,Rarely,4,5,41.95,3-4,5,1,2,4,1,1
45-54,Female,Middle East/North Africa,Working Professional (Married),Abu Dhabi,Shared apartment with roommates,1000-1500,Rarely/Never,10-15,Rarely,3,4,27.28,1-2,2,2,2,3,3,0
18-24,Prefer not to say,Indian Subcontinent,Working Professional (Married),International City,Company-provided accommodation,1500-2000,2-3 times a week,30-50,2-3 times a week,5,4,20.58,1-2,2,1,3,2,2,1
25-34,Male,Europe,Working Professional (Bachelor/Single),Dubai Marina,University dormitory/hostel,Less than 500,4-6 times a week,15-20,Once a week,2,2,17.82,5-7,3,3,2,2,3,0
Under 18,Female,Middle East/North Africa,Working Professional (Bachelor/Single),Dubai Academic City,Shared apartment with roommates,1500-2000,Rarely/Never,Less than 10,4-6 times a week,4,5,35.72,1-2,2,1,4,3,5,1
25-34,Male,Indian Subcontinent,Local University/College Student,International City,Rented studio/apartment (alone),Less than 500,2-3 times a week,15-20,Multiple times a day,4,2,22.43,8-10,4,3,3,2,3,1
18-24,Male,Middle East/North Africa,Local University/College Student,International City,Rented studio/apartment (alone),2000-3000,4-6 times a week,15-20,Multiple times a day,1,5,27.35,Would not order,2,2,4,3,4,0
